,number_single,number_female,number_union,mean_attractiveness,corr_results,Model Params,Run
221,56,50,44,0.735,-0.2332342448095176,"(100, 'attractiveness', 5, 1, 10, 1)",5
222,56,50,44,0.735,-0.2332342448095176,"(100, 'attractiveness', 5, 1, 10, 1)",5
223,54,50,46,0.736,-0.22837448659813342,"(100, 'attractiveness', 5, 1, 10, 1)",5
224,52,50,48,0.739,-0.18941430742764906,"(100, 'attractiveness', 5, 1, 10, 1)",5
225,52,50,48,0.739,-0.18941430742764906,"(100, 'attractiveness', 5, 1, 10, 1)",5
226,52,50,48,0.739,-0.18941430742764906,"(100, 'attractiveness', 5, 1, 10, 1)",5
227,44,50,56,0.737,-0.2132569757031953,"(100, 'attractiveness', 5, 1, 10, 1)",5
228,42,50,58,0.737,-0.23306664819444015,"(100, 'attractiveness', 5, 1, 10, 1)",5
229,38,50,62,0.732,-0.0920147877487561,"(100, 'attractiveness', 5, 1, 10, 1)",5
230,38,50,62,0.732,-0.0920147877487561,"(100, 'attractiveness', 5, 1, 10, 1)",5
231,34,50,66,0.728,-0.09089253209896568,"(100, 'attractiveness', 5, 1, 10, 1)",5
232,32,50,68,0.725,-0.06992600974123966,"(100, 'attractiveness', 5, 1, 10, 1)",5
233,32,50,68,0.725,-0.06992600974123966,"(100, 'attractiveness', 5, 1, 10, 1)",5
234,32,50,68,0.725,-0.06992600974123966,"(100, 'attractiveness', 5, 1, 10, 1)",5
235,30,50,70,0.725,-0.08511280998868742,"(100, 'attractiveness', 5, 1, 10, 1)",5
236,30,50,70,0.725,-0.08511280998868742,"(100, 'attractiveness', 5, 1, 10, 1)",5
237,30,50,70,0.725,-0.08511280998868742,"(100, 'attractiveness', 5, 1, 10, 1)",5
238,30,50,70,0.725,-0.08511280998868742,"(100, 'attractiveness', 5, 1, 10, 1)",5
239,30,50,70,0.725,-0.08511280998868742,"(100, 'attractiveness', 5, 1, 10, 1)",5
240,30,50,70,0.725,-0.08511280998868742,"(100, 'attractiveness', 5, 1, 10, 1)",5
241,30,50,70,0.725,-0.08511280998868742,"(100, 'attractiveness', 5, 1, 10, 1)",5
242,28,50,72,0.724,-0.06961011673168326,"(100, 'attractiveness', 5, 1, 10, 1)",5
243,22,50,78,0.722,-0.1158595491234968,"(100, 'attractiveness', 5, 1, 10, 1)",5
244,22,50,78,0.722,-0.1158595491234968,"(100, 'attractiveness', 5, 1, 10, 1)",5
245,22,50,78,0.722,-0.1158595491234968,"(100, 'attractiveness', 5, 1, 10, 1)",5
246,18,50,82,0.721,-0.09070038767776908,"(100, 'attractiveness', 5, 1, 10, 1)",5
247,18,50,82,0.721,-0.09070038767776908,"(100, 'attractiveness', 5, 1, 10, 1)",5
248,18,50,82,0.721,-0.09070038767776908,"(100, 'attractiveness', 5, 1, 10, 1)",5
249,18,50,82,0.721,-0.09070038767776908,"(100, 'attractiveness', 5, 1, 10, 1)",5
250,16,50,84,0.72,-0.09117314380193844,"(100, 'attractiveness', 5, 1, 10, 1)",5
251,16,50,84,0.72,-0.09117314380193844,"(100, 'attractiveness', 5, 1, 10, 1)",5
252,16,50,84,0.72,-0.09117314380193844,"(100, 'attractiveness', 5, 1, 10, 1)",5
253,14,50,86,0.718,-0.1332791660987044,"(100, 'attractiveness', 5, 1, 10, 1)",5
254,12,50,88,0.717,-0.12039033463879657,"(100, 'attractiveness', 5, 1, 10, 1)",5
255,10,50,90,0.717,-0.1246381173721683,"(100, 'attractiveness', 5, 1, 10, 1)",5
256,10,50,90,0.717,-0.1246381173721683,"(100, 'attractiveness', 5, 1, 10, 1)",5
